"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
114,"YJ",12.05%,21.95%,-17.64%,-53.25%,-53.25%,-53.25%,8.31%,10.45%,4.00,282.82,0.07,0.82,-5.17%,1050
115,"TREX",20.43%,28.88%,25.35%,33.99%,95.09%,58.62%,4.69%,3.63%,2.40,639.95,0.16,126.00,-5.12%,5113
116,"JUPW",-7.11%,18.79%,5.95%,-52.77%,-54.84%,-61.49%,14.41%,11.72%,,971.02,0.15,1.86,-5.10%,7273
117,"NLS",-12.10%,3.74%,-30.74%,-41.62%,-56.82%,-47.96%,8.29%,5.70%,2.20,935.91,2.05,8.96,-5.08%,95807
118,"ALVR",6.86%,8.33%,20.28%,8.00%,-23.02%,-36.42%,5.29%,5.70%,1.70,198.95,0.00,23.21,-5.03%,20
119,"SOXL",22.35%,65.19%,43.54%,125.38%,180.59%,103.87%,6.36%,4.91%,,12272.43,0.88,60.23,-5.00%,542897
120,"ADNT",-0.11%,0.34%,8.89%,-3.33%,67.04%,27.55%,3.98%,3.95%,2.40,850.69,0.01,42.14,-4.98%,361
121,"ALC",2.85%,11.03%,23.13%,31.67%,32.96%,32.25%,1.34%,1.17%,2.30,775.58,1.04,82.92,-4.97%,40439
122,"GRTX",-2.15%,-77.64%,-78.41%,-73.55%,-82.45%,-82.21%,6.46%,11.53%,1.20,2511.70,2.07,1.73,-4.95%,260123
123,"MRUS",-9.93%,-11.36%,40.22%,23.18%,113.44%,56.70%,6.85%,5.57%,1.40,510.66,0.00,26.13,-4.88%,1
124,"QS",26.21%,58.29%,61.49%,34.58%,159.65%,-56.49%,11.72%,8.45%,2.70,10621.04,0.46,34.95,-4.87%,245574
125,"HLX",4.31%,-4.20%,-0.48%,-14.20%,30.89%,-2.14%,5.63%,4.84%,2.70,1409.84,0.00,3.91,-4.87%,138
126,"INVZ",15.77%,9.61%,-43.87%,-44.40%,-45.56%,-62.49%,6.63%,6.48%,2.50,930.74,3.71,5.10,-4.85%,172716
127,"PSTI",13.55%,24.00%,-4.91%,-19.48%,-64.37%,-56.15%,6.63%,6.75%,2.00,185.93,3.28,2.95,-4.84%,30470
128,"LLL",9.93%,2.99%,-19.27%,-2.52%,44.86%,5.44%,10.20%,10.46%,,273.61,0.01,2.95,-4.78%,84
129,"EVBG",0.28%,14.41%,13.14%,38.27%,29.97%,6.38%,3.03%,2.87%,1.60,319.06,0.45,151.00,-4.78%,7131
130,"VLTA",19.08%,49.67%,13.83%,15.10%,13.60%,6.67%,9.63%,7.52%,,1999.41,1.11,10.82,-4.75%,110865
131,"SLGG",16.98%,25.91%,-7.56%,-9.11%,104.86%,33.92%,8.54%,9.48%,2.30,606.45,0.16,3.61,-4.75%,4830
132,"PAYS",1.48%,8.30%,11.38%,-9.87%,-50.98%,-40.95%,5.70%,4.90%,2.00,349.81,0.05,2.61,-4.74%,839
133,"ROVR",13.06%,13.06%,22.67%,40.32%,,25.91%,5.41%,4.46%,1.70,438.80,0.02,13.20,-4.69%,380
134,"ACB",8.41%,6.70%,4.76%,-2.98%,-33.27%,-9.99%,7.17%,5.27%,3.60,4705.56,0.28,7.13,-4.68%,66755
135,"SNCY",6.38%,-5.02%,-10.02%,-14.65%,,-10.61%,4.28%,4.73%,2.00,479.33,0.01,31.04,-4.55%,141
136,"PPSI",118.92%,127.81%,53.15%,129.32%,186.43%,93.17%,32.74%,12.15%,,5417.32,1.22,6.96,-4.53%,330467
137,"STKL",0.26%,-11.74%,-22.75%,-33.28%,15.18%,-33.68%,3.37%,3.97%,1.60,684.16,0.04,7.39,-4.52%,1342
138,"ITGR",-2.47%,-0.06%,-2.96%,-2.66%,32.35%,7.57%,3.58%,3.18%,1.50,126.45,0.00,83.41,-4.50%,1
139,"NVTS",12.21%,44.13%,58.05%,58.69%,,44.39%,4.07%,8.31%,,643.93,0.24,15.01,-4.46%,7848
140,"TS",10.63%,14.05%,21.50%,9.92%,94.28%,59.81%,2.57%,2.04%,2.40,2122.96,0.95,24.36,-4.43%,100538
141,"AGC",30.00%,54.46%,47.73%,35.65%,,21.31%,11.01%,8.97%,,2749.49,2.73,14.91,-4.42%,375120
142,"CLEU",-1.30%,4.11%,14.57%,-37.19%,-60.20%,-40.93%,5.46%,6.70%,,1940.62,0.03,2.18,-4.39%,2893
143,"HEXO",24.03%,-5.88%,-57.56%,-73.68%,-51.81%,-56.52%,10.36%,7.84%,,8815.00,0.45,1.53,-4.38%,198489
144,"ABCL",-17.03%,-0.94%,-3.73%,-52.12%,,-63.44%,5.05%,4.99%,1.60,2464.56,1.12,14.07,-4.35%,138391
145,"GMAB",0.16%,7.31%,0.45%,24.08%,20.09%,10.87%,1.80%,1.41%,2.40,350.72,1.16,43.13,-4.33%,20408
146,"BLND",7.17%,12.44%,-14.70%,,,-25.60%,5.22%,5.25%,1.90,618.42,0.04,14.88,-4.31%,1389
147,"CMPS",-19.75%,15.79%,19.36%,2.86%,-2.99%,-24.43%,15.07%,7.98%,1.70,549.02,0.40,34.45,-4.31%,11111
148,"STKS",13.30%,29.61%,26.47%,37.70%,418.87%,323.51%,10.62%,7.46%,2.50,176.36,0.23,15.00,-4.28%,2003
149,"SUI",-1.65%,2.70%,-0.32%,20.81%,42.99%,27.51%,1.73%,1.91%,1.80,541.37,0.00,185.50,-4.26%,3
150,"CALT",13.18%,-8.91%,-42.20%,-30.42%,-44.62%,-44.08%,4.84%,4.16%,1.40,41.72,0.21,18.00,-4.26%,438
151,"ARRY",-2.40%,12.52%,40.80%,60.25%,-48.64%,-50.00%,4.94%,6.04%,2.30,2886.70,0.03,20.66,-4.22%,4988
152,"AMBA",6.34%,33.99%,98.22%,139.52%,235.02%,119.72%,4.13%,4.24%,2.30,698.64,0.04,193.25,-4.21%,1467
153,"SOFI",-2.38%,20.39%,31.01%,47.11%,,77.97%,4.65%,5.53%,2.00,25416.46,0.52,21.21,-4.20%,665987
154,"PTC",-3.20%,3.76%,-9.01%,-2.34%,31.71%,2.31%,6.55%,3.31%,1.90,727.49,0.00,117.26,-4.18%,173
155,"ARTL",-3.79%,30.53%,5.15%,-15.61%,83.34%,31.78%,14.97%,10.59%,1.50,7176.73,2.08,0.92,-4.16%,745653
156,"MOR",-7.87%,1.59%,-14.08%,-42.51%,-55.65%,-59.53%,2.41%,2.34%,2.30,56.78,0.84,11.00,-4.10%,2395
157,"GLPG",3.98%,13.54%,-3.54%,-23.87%,-53.89%,-42.98%,2.74%,2.33%,2.80,235.04,0.61,54.14,-4.08%,7138
158,"TNXP",4.97%,13.25%,-18.18%,-43.37%,11.11%,-12.74%,4.76%,5.52%,2.00,13041.92,0.31,0.56,-4.07%,202166
159,"CTHR",6.15%,24.55%,27.78%,33.72%,246.28%,180.49%,8.61%,5.09%,2.00,185.30,0.02,3.31,-4.06%,210
160,"RCMT",-2.05%,1.47%,39.33%,78.67%,333.57%,199.52%,6.46%,5.72%,2.50,217.32,0.00,5.95,-4.03%,4
161,"CPSI",2.54%,3.06%,7.29%,24.76%,30.09%,38.19%,2.82%,2.04%,2.30,100.51,0.18,35.60,-4.02%,920
162,"NVDA",16.12%,48.14%,55.63%,122.82%,124.91%,134.83%,7.27%,3.74%,2.00,29315.49,0.93,294.29,-4.01%,1368630
163,"CRCT",7.22%,12.40%,-10.23%,54.00%,,68.54%,7.89%,5.74%,2.80,645.76,0.17,28.80,-4.00%,5625
164,"MOGU",1.01%,2.05%,-14.53%,-33.33%,-62.69%,-53.92%,5.56%,7.36%,1.50,236.81,0.37,0.96,-4.00%,4421
165,"ASAN",11.30%,34.73%,91.59%,400.63%,521.70%,382.84%,7.36%,6.48%,1.90,2644.74,0.20,137.00,-3.98%,27073
166,"UTME",10.60%,4.34%,-21.00%,-84.02%,,-85.82%,8.97%,5.66%,,175.14,0.99,5.31,-3.98%,8646
167,"EPAC",6.16%,12.13%,-9.80%,-13.57%,15.47%,1.37%,2.45%,2.47%,3.20,196.55,0.00,22.01,-3.97%,45
168,"BW",5.13%,24.06%,-1.43%,3.98%,225.32%,115.95%,3.48%,4.29%,2.50,755.75,0.03,7.28,-3.96%,1000
169,"BULZ",3.41%,34.22%,,,,31.59%,6.08%,4.52%,,721.92,2.23,30.85,-3.95%,80549
170,"MRNA",-32.06%,-22.37%,-38.53%,55.13%,204.67%,126.72%,8.26%,5.55%,2.70,15252.61,0.21,227.50,-3.95%,156931
171,"ZSL",-6.83%,-15.52%,-11.15%,11.81%,-26.72%,-8.43%,3.22%,3.01%,,260.54,5.91,24.10,-3.95%,76994
172,"FEMY",12.57%,6.88%,2.98%,,,-36.58%,8.06%,4.99%,2.00,37.08,0.03,7.31,-3.94%,52
173,"OWLT",6.72%,-6.39%,-61.75%,-61.67%,,-62.54%,8.57%,5.80%,2.00,790.98,0.03,3.66,-3.94%,989
174,"AIP",0.14%,,,,,20.16%,10.52%,,,447.13,0.01,21.01,-3.93%,140
175,"CHEK",-8.11%,21.66%,-6.42%,-23.88%,274.59%,121.74%,8.43%,8.44%,2.50,1465.15,0.57,0.98,-3.92%,41922
176,"MXL",2.45%,43.12%,32.42%,111.64%,160.55%,77.11%,3.77%,3.95%,2.10,487.87,0.02,65.00,-3.90%,392
177,"GTLB",9.92%,,,,,25.91%,7.35%,,,1395.76,0.06,125.77,-3.85%,4168
178,"CYD",0.46%,-6.27%,-14.36%,-19.40%,-22.16%,-20.44%,2.57%,2.62%,2.00,32.92,0.01,12.50,-3.85%,10
179,"DTEA",21.57%,17.13%,0.97%,16.48%,250.42%,73.03%,7.83%,7.53%,,167.89,0.03,4.01,-3.84%,252
180,"CORT",27.58%,10.42%,11.93%,11.55%,28.15%,-12.12%,5.09%,3.95%,2.50,515.93,0.01,22.11,-3.83%,160
181,"SKYW",12.97%,-2.00%,16.85%,8.01%,37.41%,23.84%,4.48%,3.65%,1.90,340.24,0.00,48.01,-3.83%,3
182,"LODE",5.78%,-4.42%,-21.19%,-26.99%,120.37%,128.85%,5.51%,5.27%,,794.38,0.72,2.29,-3.78%,28682
183,"NKLA",14.10%,35.73%,43.20%,13.92%,-23.13%,-6.16%,11.93%,7.55%,2.70,11755.10,0.42,13.78,-3.77%,245449
184,"PSCE",4.49%,5.64%,29.54%,27.37%,151.75%,96.13%,3.49%,3.15%,,355.44,0.01,8.29,-3.72%,99
185,"BLNK",6.35%,28.96%,-2.78%,21.74%,277.16%,-18.13%,10.63%,6.73%,2.50,1906.30,0.96,33.70,-3.71%,91631
186,"ATER",17.22%,-15.64%,73.51%,-49.09%,-17.14%,-59.27%,11.11%,10.74%,1.80,26462.12,0.12,6.75,-3.71%,165340
187,"BOTZ",2.02%,12.02%,12.21%,24.58%,28.86%,19.00%,1.38%,1.29%,,626.48,0.54,37.98,-3.68%,17007
