"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
7347,"PETQ",-2.56%,-2.95%,-12.98%,-39.06%,-7.05%,-37.56%,6.31%,4.15%,1.30,490.04,0.02,24.05,0.17%,526
7348,"BMO",1.72%,7.38%,8.54%,16.69%,71.72%,47.35%,1.20%,1.26%,2.60,618.53,0.01,112.22,0.17%,301
7349,"ESGC",1.83%,10.50%,35.77%,-24.09%,-61.55%,-51.62%,10.20%,9.93%,2.00,4556.85,0.00,0.88,0.17%,466
7350,"MDT",0.82%,-1.01%,-2.98%,-0.67%,8.01%,4.40%,1.80%,1.65%,1.90,4317.58,0.00,122.50,0.17%,685
7351,"ITRM",5.50%,9.16%,-16.68%,-42.42%,12.67%,-41.19%,7.71%,8.49%,3.00,5463.97,0.51,0.58,0.17%,139709
7352,"CCEP",8.77%,8.24%,-6.88%,0.96%,47.07%,15.99%,2.49%,1.92%,2.20,943.32,0.16,57.90,0.17%,7672
7353,"WBA",2.83%,3.54%,-1.25%,-7.43%,23.41%,23.12%,2.88%,2.97%,3.00,5588.46,0.04,49.19,0.17%,10824
7354,"IMGN",-12.86%,-3.03%,-1.20%,-12.20%,-7.25%,-10.70%,7.23%,5.10%,2.10,1414.14,0.00,5.77,0.17%,23
7355,"AAOI",-26.84%,-15.57%,-17.50%,-19.35%,-25.47%,-32.43%,8.92%,4.74%,2.70,596.71,0.40,5.76,0.17%,11867
7356,"NRZ",-1.64%,2.70%,14.21%,15.37%,38.98%,14.79%,1.91%,1.75%,1.70,4414.29,0.04,11.43,0.18%,8171
7357,"VWO",1.36%,1.28%,-1.02%,0.55%,8.64%,2.37%,0.81%,0.78%,,10390.10,0.02,51.39,0.18%,8688
7358,"EEM",0.65%,0.93%,-2.16%,-1.71%,6.07%,-0.93%,0.84%,0.80%,,37313.75,0.04,51.28,0.18%,75099
7359,"ACP",0.44%,1.79%,-0.61%,1.49%,18.27%,8.53%,0.98%,0.88%,,124.05,0.00,11.37,0.18%,5
7360,"C",-0.89%,-5.15%,-8.49%,-8.41%,42.72%,10.27%,2.16%,1.99%,2.10,18422.20,0.12,68.11,0.18%,109689
7361,"OLP",7.16%,8.87%,11.26%,41.98%,116.36%,69.36%,3.60%,2.26%,2.70,46.67,0.06,34.05,0.18%,132
7362,"MCO",0.41%,8.96%,3.24%,22.70%,42.42%,35.16%,1.83%,1.90%,2.20,509.04,0.01,393.00,0.18%,153
7363,"DVYE",0.88%,-1.44%,1.17%,-1.01%,19.05%,4.89%,0.56%,0.63%,,80.92,0.00,39.12,0.18%,1
7364,"EFAV",0.66%,4.03%,-0.75%,5.34%,10.53%,5.84%,0.47%,0.45%,,450.07,0.01,77.84,0.18%,124
7365,"EXR",-2.14%,14.69%,14.01%,39.43%,84.91%,70.65%,2.63%,2.24%,2.10,634.32,0.01,198.07,0.18%,171
7366,"INFA",5.55%,,,,,13.41%,4.33%,,,2258.32,0.00,32.95,0.18%,470
7367,"FA",13.58%,3.57%,9.85%,,,10.41%,6.40%,4.93%,1.50,517.00,0.00,21.79,0.18%,112
7368,"AM",1.12%,-1.46%,15.72%,17.99%,75.65%,40.34%,2.43%,2.53%,3.20,3394.48,0.01,10.84,0.18%,1668
7369,"RADA",2.09%,3.96%,-6.11%,-5.11%,48.41%,10.36%,4.35%,3.20%,1.20,312.64,0.00,10.78,0.19%,20
7370,"AGNC",0.88%,-0.62%,-1.23%,-7.75%,13.57%,3.01%,1.18%,1.21%,2.10,5550.02,0.03,16.10,0.19%,7953
7371,"DZZ",-5.01%,-8.87%,-8.78%,-5.01%,-2.83%,-0.75%,0.77%,0.84%,,5.73,0.07,2.66,0.19%,20
7372,"TBF",-2.58%,-6.54%,-4.00%,-12.04%,-0.81%,0.51%,1.03%,0.88%,,1744.95,0.08,15.89,0.19%,7054
7373,"CALM",0.25%,6.07%,4.59%,-0.60%,-5.32%,-2.29%,1.97%,1.67%,3.00,272.09,0.00,36.75,0.19%,32
7374,"KBE",0.95%,4.93%,8.32%,9.08%,49.92%,37.02%,2.00%,1.66%,,2400.80,0.00,57.41,0.19%,261
7375,"ARI",2.45%,2.38%,0.45%,7.88%,54.55%,38.50%,2.15%,2.02%,3.00,681.84,0.00,15.50,0.19%,22
7376,"GBDC",-1.84%,-2.77%,-2.59%,4.89%,13.20%,9.19%,1.10%,1.13%,2.50,544.86,0.03,15.47,0.19%,739
7377,"ENR",2.80%,0.39%,-5.14%,-18.34%,-16.74%,-8.61%,1.77%,1.87%,2.50,685.65,0.05,38.62,0.19%,1586
7378,"MCB",9.35%,19.59%,35.01%,68.62%,227.88%,182.05%,3.30%,3.37%,2.00,82.48,0.00,102.50,0.20%,6
7379,"ZNH",4.48%,2.24%,14.29%,-6.57%,-3.32%,3.07%,1.82%,1.62%,,12.92,0.44,30.62,0.20%,283
7380,"QRTEA",-6.30%,0.80%,-9.65%,-21.93%,53.61%,-7.84%,12.33%,5.61%,2.40,4218.80,0.34,10.13,0.20%,71734
7381,"EBND",1.29%,0.72%,-3.27%,-4.99%,-7.57%,-10.37%,0.35%,0.31%,,361.82,0.08,25.19,0.20%,1531
7382,"BTAQ",-0.30%,0.40%,1.12%,1.01%,2.15%,-4.23%,0.30%,0.28%,,71.05,0.30,9.99,0.20%,1050
7383,"CNR",6.93%,5.86%,-11.63%,9.70%,84.79%,59.70%,4.65%,4.23%,2.00,576.41,0.13,14.85,0.20%,3608
7384,"CVII",-0.10%,0.10%,1.14%,0.00%,,-0.51%,0.27%,0.33%,,234.16,0.03,9.82,0.20%,375
7385,"SPGS",-0.31%,0.21%,-1.41%,-1.01%,,-2.59%,0.39%,0.26%,,120.25,0.09,9.79,0.20%,550
7386,"XOS",-8.29%,4.28%,-51.15%,-50.71%,,-51.64%,7.06%,7.01%,2.00,1115.50,0.04,4.88,0.21%,2092
7387,"BFLY",-7.06%,-8.72%,-15.16%,-13.27%,-0.61%,-50.78%,4.48%,4.49%,2.00,2132.65,0.07,9.76,0.21%,7186
7388,"KMI",-0.83%,-5.19%,-2.44%,-7.07%,36.75%,23.04%,1.69%,2.04%,3.00,13873.57,0.05,16.85,0.21%,34160
7389,"IGIB",0.55%,0.89%,-0.81%,1.06%,-1.23%,-2.82%,0.33%,0.26%,,1754.31,0.00,60.17,0.21%,81
7390,"ATNF",-6.63%,-10.47%,-40.72%,-42.43%,55.02%,75.46%,5.40%,6.39%,,689.15,0.01,4.80,0.21%,501
7391,"WSM",5.40%,19.36%,25.06%,21.71%,127.78%,100.89%,3.83%,2.80%,2.80,959.42,0.00,205.02,0.21%,155
7392,"Z",-23.85%,-26.21%,-33.21%,-38.93%,-36.23%,-48.84%,7.81%,5.46%,2.20,6382.88,0.28,66.54,0.21%,88164
7393,"DEO",0.60%,5.65%,2.44%,10.48%,35.78%,28.41%,0.78%,0.74%,1.90,300.10,0.14,204.35,0.21%,2148
7394,"IFRA",3.07%,7.58%,1.92%,6.24%,36.90%,25.44%,1.25%,1.16%,,163.91,0.38,37.70,0.21%,3138
7395,"ENB",0.38%,2.30%,4.99%,6.18%,46.08%,32.20%,1.92%,1.30%,2.30,3946.66,0.02,42.38,0.21%,4184
7396,"PAY",4.66%,19.64%,-5.43%,,,-2.69%,4.54%,4.43%,1.80,182.26,0.02,27.90,0.22%,146
7397,"NNN",-0.46%,2.23%,-3.43%,2.57%,19.12%,12.07%,1.74%,1.74%,2.20,921.57,0.06,45.96,0.22%,2609
7398,"SCHN",7.30%,12.20%,-0.78%,4.31%,146.99%,72.30%,4.50%,3.91%,2.30,241.76,0.00,55.10,0.22%,28
7399,"STT",-3.43%,5.56%,4.37%,13.15%,36.99%,31.95%,2.29%,2.38%,2.30,2332.73,0.00,96.24,0.22%,202
7400,"FUTU",-1.33%,-37.18%,-47.71%,-49.77%,52.88%,19.69%,6.97%,8.99%,1.50,7033.66,0.48,54.88,0.22%,170484
7401,"GILD",0.38%,-2.83%,-5.28%,-1.93%,12.02%,13.54%,1.89%,1.69%,2.40,6441.62,0.04,66.29,0.22%,11444
7402,"YPF",9.35%,-4.40%,-10.59%,9.88%,10.14%,-2.98%,5.22%,4.35%,3.60,1793.06,0.07,4.57,0.22%,6422
7403,"PNW",-2.21%,-6.15%,-21.19%,-24.26%,-27.95%,-20.75%,3.27%,2.38%,2.90,1207.25,0.00,63.50,0.22%,236
7404,"ABT",-1.00%,8.17%,4.09%,8.66%,15.58%,15.47%,1.78%,1.60%,1.90,4829.49,0.01,126.71,0.22%,3106
7405,"CCS",7.12%,16.95%,-0.93%,2.71%,80.84%,62.95%,3.13%,3.60%,1.70,289.13,0.00,71.50,0.22%,41
7406,"MYOV",-5.88%,7.59%,6.00%,6.92%,43.32%,-19.99%,3.56%,4.42%,2.20,595.40,0.00,22.15,0.23%,51
7407,"NMR",0.23%,-9.63%,-10.37%,-14.20%,-10.73%,-17.26%,1.49%,1.66%,,416.20,0.17,4.42,0.23%,3606
7408,"NUVB",-4.77%,-6.60%,4.40%,-20.47%,-14.51%,-24.96%,5.26%,4.28%,1.50,678.54,0.03,8.80,0.23%,932
7409,"NYMT",0.92%,1.63%,1.16%,2.10%,51.74%,18.43%,1.89%,1.62%,2.60,2257.14,0.01,4.38,0.23%,1308
7410,"INPX",-7.87%,12.06%,-20.77%,-19.22%,-18.42%,-19.22%,4.19%,7.10%,,2402.03,0.15,0.83,0.23%,18128
7411,"FRSH",-22.09%,-7.45%,,,,-17.96%,14.38%,8.85%,,2713.97,0.00,39.10,0.23%,504
7412,"HRL",0.42%,3.17%,-5.40%,-7.74%,-12.61%,-7.21%,1.43%,1.52%,3.20,2204.24,0.02,43.35,0.23%,2097
7413,"SDIV",-0.69%,-2.35%,-4.16%,-7.26%,12.17%,0.47%,0.59%,0.67%,,489.18,0.13,12.93,0.23%,3265
7414,"CLSN",-7.35%,-10.09%,-19.81%,-15.88%,77.60%,20.68%,4.28%,4.88%,2.50,953.14,0.13,0.86,0.23%,6275
7415,"WPC",-2.00%,3.02%,-1.64%,7.03%,15.06%,8.77%,1.51%,1.59%,2.60,852.93,0.05,76.95,0.23%,2207
7416,"DUG",-3.85%,-10.71%,-34.51%,-35.31%,-80.00%,-70.52%,3.43%,3.29%,,423.11,0.02,8.52,0.24%,476
7417,"PAGS",-3.25%,4.88%,-41.59%,-14.31%,-22.13%,-40.31%,3.37%,4.87%,1.90,2762.74,0.02,34.03,0.24%,2368
7418,"SWI",3.61%,-10.23%,-9.56%,7.66%,-21.48%,16.01%,2.93%,3.74%,2.60,674.28,0.00,16.98,0.24%,3
7419,"THW",-0.65%,3.24%,0.54%,8.63%,14.31%,6.51%,0.77%,0.83%,,106.61,0.02,16.90,0.24%,97
7420,"TTGT",10.67%,29.61%,31.95%,56.17%,97.84%,78.23%,4.60%,4.09%,2.10,155.25,0.01,105.60,0.24%,40
7421,"STC",6.10%,13.55%,26.96%,29.54%,84.70%,56.78%,2.20%,2.14%,2.00,128.82,0.00,76.00,0.24%,12
7422,"WFH",1.58%,7.38%,5.18%,18.66%,41.83%,17.83%,1.11%,0.85%,,5.83,0.01,79.75,0.24%,4
7423,"FXC",-0.33%,0.37%,0.41%,-2.67%,4.23%,1.93%,0.43%,0.36%,,57.14,0.01,78.99,0.24%,32
7424,"SPCX",0.03%,1.01%,0.66%,1.58%,,11.37%,0.49%,0.46%,,28.71,0.03,28.97,0.24%,49
7425,"ZLAB",-16.91%,-14.76%,-41.24%,-40.44%,-1.62%,-35.95%,6.91%,3.82%,1.60,528.66,0.00,86.90,0.24%,71
7426,"ASC",-1.68%,4.06%,18.84%,-10.87%,29.75%,25.38%,4.22%,4.97%,1.70,246.77,0.00,4.11,0.24%,30
7427,"ISUN",2.25%,-3.54%,-15.76%,6.37%,0.99%,37.48%,7.14%,6.10%,2.00,110.59,0.01,8.20,0.24%,33
7428,"SY",3.02%,-8.09%,-41.74%,-50.72%,-65.95%,-63.19%,5.00%,4.69%,1.60,493.31,0.23,4.10,0.24%,5708
7429,"FURY",0.82%,-3.55%,-24.62%,-48.17%,-52.62%,-53.93%,3.64%,4.23%,,288.75,0.07,0.67,0.25%,1000
7430,"BXP",3.21%,2.47%,-0.50%,13.20%,32.38%,24.31%,2.37%,2.12%,2.60,671.07,0.00,117.80,0.25%,5
7431,"SMPL",0.87%,14.09%,11.88%,23.96%,80.52%,28.83%,2.70%,3.02%,2.20,373.13,0.00,40.50,0.25%,1
7432,"CIXX",2.77%,16.34%,18.61%,54.92%,96.59%,94.12%,1.87%,1.78%,,39.43,0.01,24.15,0.25%,15
7433,"RSKD",-1.67%,3.72%,-27.45%,,,-22.85%,7.04%,7.51%,2.00,696.08,0.01,20.11,0.25%,398
7434,"REE",-0.74%,-0.74%,-62.59%,-59.49%,,-61.26%,5.30%,4.75%,1.70,1186.38,0.03,4.02,0.25%,1931
7435,"IQV",-2.34%,4.79%,2.96%,10.44%,45.00%,40.54%,2.40%,2.06%,1.70,661.83,0.00,252.43,0.25%,110
7436,"SCHP",1.77%,2.31%,1.16%,2.80%,5.20%,2.92%,0.34%,0.38%,,2868.55,0.01,64.05,0.25%,854
7437,"ORPH",-2.44%,1.01%,-34.16%,-26.92%,-58.93%,-62.81%,6.09%,7.82%,4.00,3855.56,0.04,4.00,0.25%,8175
7438,"INFL",1.88%,5.14%,5.18%,8.65%,,26.34%,1.01%,0.87%,,309.02,0.04,31.98,0.25%,630
7439,"HBAN",0.38%,0.38%,4.13%,4.27%,32.80%,25.65%,2.58%,2.12%,2.30,12177.05,0.00,15.91,0.25%,1421
7440,"CSGP",-2.19%,-3.79%,-1.96%,1.69%,-8.71%,-9.93%,1.98%,2.49%,1.70,1455.57,0.00,83.46,0.25%,50
7441,"URBN",8.53%,24.34%,-9.83%,2.62%,34.63%,39.10%,3.76%,3.13%,2.60,1841.00,0.08,35.70,0.25%,7676
7442,"KEY",0.76%,3.76%,13.55%,6.42%,55.99%,44.49%,2.31%,2.02%,2.80,7229.16,0.01,23.77,0.25%,2055
7443,"HCCI",-1.13%,18.78%,16.41%,17.78%,62.05%,65.97%,2.64%,3.65%,1.40,49.76,0.00,35.06,0.26%,1
7444,"GLG",4.18%,22.38%,0.15%,-31.02%,-68.05%,-53.58%,9.20%,10.61%,,1744.32,1.43,0.74,0.26%,124737
7445,"TAC",4.98%,5.56%,15.78%,21.62%,79.69%,52.70%,1.88%,1.94%,3.00,174.42,0.02,11.62,0.26%,201
7446,"FCG",2.72%,5.30%,36.60%,38.26%,180.76%,118.37%,3.11%,2.86%,,1645.03,0.00,19.31,0.26%,122
7447,"OMC",1.65%,-8.34%,-9.52%,-16.01%,24.33%,10.61%,1.91%,2.33%,2.70,1552.03,0.00,69.17,0.26%,77
7448,"FTEK",-4.73%,12.65%,-1.29%,-1.29%,136.42%,-50.64%,5.76%,9.88%,3.00,1300.51,0.26,1.92,0.26%,17053
7449,"MNDT",7.34%,7.28%,7.77%,-1.04%,25.64%,-17.56%,4.05%,2.67%,,2452.85,0.00,19.06,0.26%,568
7450,"TIP",1.80%,2.47%,1.39%,2.82%,4.98%,2.51%,0.35%,0.38%,,3812.65,0.01,131.21,0.27%,2326
7451,"SYPR",-7.90%,-6.75%,15.48%,16.56%,210.83%,145.39%,5.99%,6.31%,3.00,212.24,0.97,3.74,0.27%,10286
7452,"GSS",0.54%,45.49%,64.16%,15.22%,-7.71%,0.00%,1.48%,5.23%,2.20,769.44,0.03,3.72,0.27%,1066
7453,"PHG",1.22%,10.04%,7.86%,-11.79%,-8.27%,-11.37%,0.79%,1.08%,1.70,831.85,0.03,48.14,0.27%,1196
7454,"MX",-4.59%,3.27%,-6.39%,-23.27%,29.70%,35.36%,2.39%,2.68%,2.00,346.91,0.00,18.35,0.27%,13
7455,"CRL",-11.23%,-5.96%,-3.96%,21.05%,61.62%,53.47%,4.78%,2.73%,1.80,361.83,0.00,384.50,0.27%,16
7456,"BLU",2.11%,23.72%,130.89%,107.74%,203.35%,136.93%,5.26%,6.17%,,2253.86,0.00,7.27,0.28%,30
7457,"FBZ",7.81%,-4.05%,-14.61%,-11.94%,8.20%,-10.17%,1.44%,1.53%,,3.14,0.01,12.07,0.28%,1
7458,"UUP",-0.12%,-0.55%,1.00%,3.15%,0.60%,3.96%,0.31%,0.29%,,795.97,0.48,25.27,0.28%,19006
7459,"BKH",-2.68%,2.38%,-9.48%,-1.07%,6.44%,5.16%,2.80%,1.85%,2.00,293.78,0.00,64.80,0.28%,2
7460,"LAND",8.34%,9.49%,9.29%,12.25%,79.48%,70.29%,4.37%,2.75%,2.40,266.64,0.00,25.00,0.28%,6
7461,"OHI",-4.65%,-3.23%,-18.93%,-18.30%,-17.40%,-21.59%,2.97%,2.54%,2.40,2418.32,0.22,28.56,0.28%,26344
7462,"PDSB",-14.84%,-22.74%,0.76%,142.50%,423.04%,398.60%,6.21%,6.40%,1.90,469.00,0.18,10.70,0.28%,4121
7463,"ALKS",-16.40%,-20.59%,-13.21%,10.65%,38.64%,24.46%,6.08%,3.96%,3.00,1299.90,0.00,24.90,0.28%,315
7464,"ALHC",6.32%,22.53%,20.17%,-0.52%,,22.53%,10.36%,6.04%,2.10,359.47,0.00,21.27,0.28%,3
7465,"IMMR",-25.13%,4.13%,-4.85%,-3.42%,-3.02%,-37.47%,6.45%,5.14%,1.50,645.29,0.38,7.08,0.28%,12310
7466,"AMZA",-0.08%,0.57%,6.99%,3.47%,77.73%,47.58%,2.02%,2.33%,,81.27,0.01,28.09,0.29%,30
7467,"NRG",-11.76%,-14.65%,-19.20%,3.75%,9.30%,-7.08%,4.05%,2.70%,2.30,2076.54,0.03,34.99,0.29%,3285
7468,"UK",-6.06%,1.88%,-22.54%,-54.28%,-90.79%,-85.17%,5.81%,7.71%,,103.57,0.04,0.94,0.29%,212
7469,"EVK",19.31%,35.69%,-0.57%,72.14%,75.63%,14.19%,10.21%,7.49%,,191.89,0.58,3.47,0.29%,5591
7470,"POWW",8.92%,12.13%,-7.32%,12.41%,191.06%,107.27%,4.22%,3.78%,2.00,2129.93,0.14,6.86,0.29%,14711
7471,"PEP",0.47%,4.65%,5.46%,13.37%,18.10%,10.26%,1.50%,1.21%,2.30,3818.05,0.02,163.99,0.29%,3300
7472,"SPB",1.95%,1.60%,18.64%,7.38%,58.87%,22.50%,2.51%,2.30%,1.70,493.07,0.00,97.04,0.29%,1
7473,"EDRY",11.64%,11.72%,15.57%,129.23%,588.71%,456.75%,10.25%,9.56%,,46.40,0.31,30.60,0.29%,714
7474,"BTNB",-0.50%,0.81%,1.21%,1.11%,,-23.08%,0.29%,0.47%,,114.93,0.00,10.03,0.30%,1
7475,"DHF",0.30%,1.52%,-0.89%,7.07%,19.35%,11.00%,0.36%,0.69%,,293.30,0.00,3.34,0.30%,1
7476,"FSTX",-6.34%,-3.20%,0.61%,0.15%,29.88%,-32.62%,5.57%,6.93%,1.40,210.19,0.04,6.67,0.30%,411
7477,"DNAB",0.10%,1.12%,1.48%,,,-1.48%,0.54%,0.58%,,109.19,0.02,10.00,0.30%,100
7478,"CSCO",-0.31%,4.57%,2.83%,11.32%,50.37%,28.36%,1.58%,1.52%,2.30,16044.12,0.13,57.62,0.30%,104013
7479,"CIFR",3.56%,51.63%,-6.90%,-6.53%,,-6.43%,7.89%,13.63%,,1353.20,0.22,9.34,0.31%,14750
7480,"GD",0.56%,0.00%,1.09%,8.56%,37.89%,36.33%,1.51%,1.68%,2.40,888.13,0.00,203.50,0.31%,157
7481,"PEG",-2.84%,4.86%,-2.16%,2.41%,2.95%,6.62%,1.95%,1.59%,2.20,1982.52,0.00,62.35,0.31%,33
7482,"OMQS",-2.30%,1.35%,16.31%,-2.30%,86.45%,93.85%,3.50%,5.17%,2.00,107.02,0.15,9.80,0.31%,800
7483,"SCU",-15.38%,-12.91%,-17.79%,-8.68%,70.77%,49.54%,6.28%,4.01%,2.00,261.57,0.00,22.80,0.31%,5
7484,"DOMA",-1.07%,-0.77%,-18.12%,-34.81%,,-36.54%,5.44%,6.12%,1.70,964.29,0.00,6.48,0.31%,43
7485,"MOMO",0.23%,7.87%,2.14%,-8.20%,-10.51%,-3.84%,4.10%,3.85%,2.20,2640.95,0.03,12.92,0.31%,3372
7486,"CGEN",-3.89%,6.11%,-2.43%,-6.40%,-50.00%,-46.90%,4.22%,5.32%,1.40,716.70,0.46,6.45,0.31%,16478
7487,"STRL",17.46%,26.52%,21.26%,35.62%,103.96%,55.08%,4.90%,3.25%,2.50,167.43,0.07,28.95,0.31%,619
7488,"FLO",1.43%,2.28%,10.86%,4.33%,13.98%,12.77%,1.61%,1.51%,2.90,1286.62,0.29,25.60,0.31%,18456
7489,"CNXN",1.23%,8.16%,-0.10%,6.74%,-8.00%,1.83%,4.49%,3.47%,3.00,43.05,0.00,48.00,0.31%,6
7490,"TWO",-1.41%,-4.25%,-3.07%,-7.88%,9.36%,-0.94%,2.26%,1.67%,2.80,3454.97,0.10,6.33,0.32%,18037
7491,"BLOK",5.68%,27.25%,23.23%,37.71%,133.66%,78.22%,3.72%,3.06%,,467.55,0.28,62.54,0.32%,6545
7492,"MEIP",4.75%,0.65%,12.77%,-1.59%,14.44%,17.05%,7.02%,5.04%,1.80,429.14,0.70,3.10,0.32%,15012
7493,"THQ",-0.44%,8.28%,0.49%,10.90%,31.14%,21.30%,1.20%,1.15%,,91.35,0.00,24.80,0.32%,1
7494,"ATCO",9.61%,6.72%,7.09%,15.27%,46.53%,42.07%,3.47%,2.93%,2.30,734.41,0.00,15.45,0.32%,6
7495,"IAG",10.43%,24.80%,26.34%,-5.25%,-14.72%,-16.35%,5.35%,4.76%,2.20,6722.52,0.95,3.08,0.33%,319238
7496,"SSSS",6.75%,22.33%,11.91%,39.28%,126.28%,62.15%,4.24%,3.17%,1.20,373.47,0.08,15.39,0.33%,1473
7497,"EDC",2.07%,2.08%,-8.71%,-8.69%,10.08%,-11.79%,2.37%,2.31%,,84.89,0.05,82.73,0.33%,202
7498,"JOE",12.80%,18.55%,10.72%,26.17%,80.78%,22.10%,3.28%,3.16%,,129.62,0.00,52.00,0.33%,1
7499,"XXII",3.40%,5.56%,-16.94%,-23.23%,265.08%,38.18%,7.44%,5.41%,2.00,1395.50,0.01,3.05,0.33%,690
7500,"FITB",0.20%,1.38%,13.96%,7.69%,66.00%,59.92%,2.03%,2.06%,2.00,4616.13,0.05,44.24,0.33%,11697
7501,"TKAT",-7.80%,-14.71%,-12.48%,-72.12%,384.34%,307.43%,5.37%,7.91%,,5559.16,0.06,6.05,0.33%,15940
7502,"GMBL",-21.00%,-5.23%,-37.18%,-37.12%,39.39%,-5.83%,8.23%,8.46%,1.80,614.73,0.09,6.00,0.33%,2771
7503,"QIWI",0.34%,0.90%,-9.15%,-14.04%,-44.16%,-13.20%,1.62%,2.29%,2.70,344.81,0.41,8.97,0.34%,7139
7504,"BIMI",-3.80%,13.06%,-36.17%,-45.36%,-60.52%,-59.10%,11.75%,29.14%,,5140.02,0.27,0.69,0.34%,70078
7505,"E",1.41%,6.56%,19.69%,17.59%,68.69%,42.82%,1.08%,1.11%,4.00,318.21,0.52,29.52,0.34%,8325
7506,"SR",-2.64%,-2.90%,-14.64%,-16.70%,-0.16%,-3.76%,2.39%,2.30%,2.00,313.14,0.00,61.84,0.34%,28
7507,"NWG",-4.58%,-6.42%,-5.05%,10.21%,59.29%,28.98%,1.77%,1.28%,3.00,934.92,0.48,5.85,0.34%,22606
7508,"HZNP",-8.32%,-4.94%,2.96%,24.34%,50.91%,47.14%,5.59%,3.05%,1.70,1258.40,0.04,108.00,0.34%,2398
7509,"SOHU",-3.05%,-6.57%,-10.48%,14.99%,4.96%,27.54%,2.55%,2.97%,2.00,256.68,0.07,20.40,0.34%,928
7510,"LX",5.45%,-1.02%,-21.52%,-25.64%,-27.50%,-13.43%,4.37%,5.18%,1.80,1619.38,0.14,5.82,0.34%,11220
7511,"ORCC",0.00%,1.68%,-0.34%,7.01%,12.92%,14.53%,1.54%,1.09%,1.60,1346.29,0.05,14.55,0.34%,3525
7512,"LIVN",18.55%,16.08%,19.02%,11.03%,72.40%,39.98%,3.74%,3.31%,1.90,339.40,0.00,93.00,0.35%,10
7513,"FPX",3.56%,8.93%,6.56%,22.88%,32.02%,14.98%,1.22%,1.19%,,56.95,0.00,136.50,0.35%,1
7514,"ARAY",7.09%,43.50%,44.58%,26.43%,85.76%,37.65%,7.43%,6.75%,1.60,1258.22,0.24,5.76,0.35%,14860
7515,"UNM",-1.46%,-8.77%,-6.10%,-11.41%,24.02%,12.07%,4.06%,2.90%,3.00,3236.61,0.13,25.80,0.35%,21387
7516,"AVO",0.25%,7.02%,1.89%,5.66%,42.51%,32.76%,2.33%,2.49%,2.00,160.14,0.00,20.05,0.35%,9
7517,"BSX",-0.97%,1.54%,-1.93%,3.48%,11.99%,19.03%,2.74%,2.13%,1.80,6411.04,0.02,42.94,0.35%,4985
7518,"RIDE",-3.07%,19.04%,1.97%,-21.08%,-68.14%,-71.64%,6.84%,6.66%,3.30,11117.04,0.31,5.71,0.35%,174566
7519,"PGTI",3.31%,12.84%,-5.34%,-6.64%,26.69%,10.62%,2.85%,2.36%,2.40,258.11,0.00,22.58,0.36%,1
7520,"AIG",-2.03%,1.50%,8.65%,17.33%,56.61%,55.20%,3.28%,2.27%,2.20,4371.74,0.01,58.97,0.36%,2235
7521,"FFIE",-2.89%,1.94%,-31.06%,-23.24%,-13.60%,-16.10%,6.42%,6.67%,1.70,2071.06,0.24,8.42,0.36%,25343
7522,"SH",-1.27%,-7.12%,-5.87%,-14.73%,-26.89%,-22.37%,0.70%,0.72%,,7943.29,0.13,14.00,0.36%,52111
7523,"HIMS",1.85%,10.70%,9.38%,-7.69%,-17.94%,-43.29%,6.63%,5.93%,2.20,2453.70,0.21,8.31,0.36%,25733
7524,"DXD",-1.55%,-10.03%,-6.46%,-17.58%,-40.82%,-33.89%,1.38%,1.32%,,1706.83,0.27,8.28,0.36%,22657
7525,"VSTM",-1.08%,-2.49%,-4.53%,-2.14%,109.16%,28.64%,3.89%,4.01%,1.70,2222.32,0.00,2.75,0.36%,7
7526,"BIDU",-0.39%,-0.33%,-2.01%,-11.82%,12.10%,-25.25%,2.72%,2.99%,2.00,4423.18,0.12,162.22,0.37%,26605
7527,"BGNE",3.16%,1.68%,32.15%,18.23%,32.02%,43.06%,5.76%,3.68%,2.30,293.17,0.35,371.00,0.37%,5089
7528,"NXST",5.63%,10.84%,13.14%,15.52%,87.69%,55.35%,2.75%,3.19%,1.60,274.91,0.00,170.25,0.37%,6
7529,"CTG",6.08%,3.12%,-3.42%,-14.85%,34.87%,33.99%,2.60%,2.14%,1.00,20.64,0.01,8.23,0.37%,6
7530,"ZDGE",-8.66%,-11.06%,-33.50%,1.97%,273.20%,79.80%,7.03%,6.78%,2.00,120.86,0.17,10.90,0.37%,1000
7531,"KC",-5.89%,-24.02%,-25.44%,-45.13%,-41.63%,-50.82%,4.94%,5.80%,1.70,1244.20,0.02,21.50,0.37%,1024
7532,"PST",-1.53%,-3.14%,0.63%,-5.70%,2.62%,3.75%,0.78%,0.68%,,71.66,2.03,16.10,0.37%,7264
7533,"IPOF",3.80%,4.93%,7.58%,6.82%,,-13.41%,1.89%,1.42%,,1511.03,9.30,10.69,0.38%,702344
7534,"TCMD",-19.20%,-23.01%,-28.55%,-43.87%,-26.27%,-34.91%,6.60%,5.03%,1.20,191.20,0.04,29.36,0.38%,358
7535,"HTBX",-2.94%,-9.42%,-20.21%,-12.56%,-26.63%,-1.31%,2.95%,3.61%,2.00,254.33,0.14,5.31,0.38%,1803
